"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @KompasTV: Siapa sangka, dahulu kita hanya bisa memandang para pembalap kelas dunia beradu di lintasan dalam layar televisi. Namun, kita…",FALSE,0,NA,2021-11-29 06:50:28,FALSE,NA,"1465211543226777602",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kaspito",6,TRUE,FALSE,NA,NA
"RT @KompasTV: Siapa sangka, dahulu kita hanya bisa memandang para pembalap kelas dunia beradu di lintasan dalam layar televisi. Namun, kita…",FALSE,0,NA,2021-11-29 06:50:12,FALSE,NA,"1465211473358065664",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Jimmy88288578",6,TRUE,FALSE,NA,NA
"Pemerintah Kabupaten Lombok Tengah, Nusa Tenggara Barat (NTB) menyebutkan pembangunan rumah khusus bagi warga Dusun… https://t.co/2FRWpVHUc0",FALSE,1,NA,2021-11-29 06:49:56,TRUE,NA,"1465211406811230211",NA,"<a href=""https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels"" rel=""nofollow"">VOI.ID</a>","voidotid",0,FALSE,FALSE,NA,NA
"RT @atr_bpn: Halo #SobATRBPN Kawasan Ekonomi Khusus (KEK) Mandalika terwujud karena adanya pengadaan tanah yang berkualitas.

Yuk kapan kit…",FALSE,0,NA,2021-11-29 06:49:42,FALSE,NA,"1465211348355149828",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","atrbpn_muba",15,TRUE,FALSE,NA,NA
"RT @atr_bpn: Halo #SobATRBPN Kawasan Ekonomi Khusus (KEK) Mandalika terwujud karena adanya pengadaan tanah yang berkualitas.

Yuk kapan kit…",FALSE,0,NA,2021-11-29 06:49:33,FALSE,NA,"1465211311420178438",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KantahKabKotim",15,TRUE,FALSE,NA,NA
"Siapa sangka, dahulu kita hanya bisa memandang para pembalap kelas dunia beradu di lintasan dalam layar televisi. N… https://t.co/zEwXG3ddnX",FALSE,9,NA,2021-11-29 06:49:28,TRUE,NA,"1465211291123871753",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","KompasTV",6,FALSE,FALSE,NA,NA
"Halo #SobATRBPN Kawasan Ekonomi Khusus (KEK) Mandalika terwujud karena adanya pengadaan tanah yang berkualitas.

Yu… https://t.co/YsyGYCPTXp",FALSE,8,NA,2021-11-29 06:48:23,TRUE,NA,"1465211015377797121",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","atr_bpn",15,FALSE,FALSE,NA,NA
"Bikin malu! Satu keluarga ini menjadi copet di Mandalika. Yuk simak fakta-faktanya!
https://t.co/ikttEVWvnK",FALSE,0,NA,2021-11-29 06:47:09,FALSE,NA,"1465210707599757314",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","akuratco",0,FALSE,FALSE,NA,NA
"RT @KakekHalal: Terima kasih Pakde @jokowi https://t.co/OSvUTyRkzQ",FALSE,0,NA,2021-11-29 06:46:58,FALSE,NA,"1465210660359340033",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","NandoPananda",48,TRUE,FALSE,NA,NA
"RT @namakoen3y: Amazing Sirkuit Mandalika

Terimakasih pa @jokowi <U+0001F64F><U+0001F64F><U+0001F64F><U+0001F64F> kami sebagai warga NKRI<U+0001F1EE><U+0001F1E9> merasa banggaaaaaa sekali, Sirkuit Mandali…",FALSE,0,NA,2021-11-29 06:46:28,FALSE,NA,"1465210536333770752",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RobbyEkoSetiaw3",301,TRUE,FALSE,NA,NA
"Pembangunan rumah relokasi bagi warga terdampak Sirkuit Mandalika telah mulai dikerjakan dan ditargetkan rampung pa… https://t.co/6IZjitTKkB",FALSE,1,NA,2021-11-29 06:45:39,TRUE,NA,"1465210330439507972",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","antaranews",1,FALSE,FALSE,NA,NA
"RT @dram214: @PigGot__ @msaid_didu Sy sih mandalika yg membuat keekonomian ntb punya masa depan cerah, Mecat Didu kaya nepuk nyamuk lah heh…",FALSE,0,NA,2021-11-29 06:45:11,FALSE,NA,"1465210213644996610",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","wongkalibanteng",2,TRUE,FALSE,NA,NA
"RT @AlmirRisa: @SastroGedek @jokowi Kagumi Sirkuit Mandalika, Pembalap Ducati: Terima Kasih Jokowi.
Vaksin Pulihkan Indonesia
https://t.co/…",FALSE,0,NA,2021-11-29 06:42:28,FALSE,NA,"1465209527326756867",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SastroGedek",1,TRUE,FALSE,NA,NA
"Mimpi makan bakso rusuk, terus dateng ke ultah ivan gunawan yang ternyata kosannya di kircon terus abisnya ikut dem… https://t.co/N7XdO2ZI8K",FALSE,0,NA,2021-11-29 06:36:35,TRUE,NA,"1465208046821408775",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","freshfromcoffin",0,FALSE,FALSE,NA,NA
"RT @YRadianto: Buzzer internasional Istana makin menggila.

Speedweek menurunkan artikel yang berjudul ""Lombok: Surga baru untuk World Supe…",FALSE,0,NA,2021-11-29 06:33:20,FALSE,NA,"1465207229024374789",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","bajingantai212",163,TRUE,FALSE,NA,NA
"@FerdinandHaean3 Lalu SERKUIT Mandalika politik
apa bukan om?
Apa Bedanya Sirkuit Mandalika sama
Formola E om? elu… https://t.co/4fT3klHTfk",FALSE,0,"FerdinandHaean3",2021-11-29 06:28:03,TRUE,"1464912261831483400","1465205900034015236","1266163382807224320","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","FajarHi98579645",0,FALSE,FALSE,NA,NA
"RT @bangzul_ntb: Kesuksesan WSBK di Mandalika kemarin bukan hanya kesuksesan Loteng atau NTB, tapi kesuksesan Indonesia ! Kesuksesan Pak Jo…",FALSE,0,NA,2021-11-29 06:20:26,FALSE,NA,"1465203981823533061",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","budidiep",33,TRUE,FALSE,NA,NA
