"","text","score","polarity"
"137"," wuihhh mantap nih  kaleng marsekal hadi euy   event motogp  arena penunjang  dipersiapk",0,"Netral"
"138"," wuihhh mantap nih  kaleng marsekal hadi euy   event motogp  arena penunjang  dipersiapk",0,"Netral"
"139"," wuihhh mantap nih  kaleng marsekal hadi euy   event motogp  arena penunjang  dipersiapk",0,"Netral"
"140"," wuihhh mantap nih  kaleng marsekal hadi euy   event motogp  arena penunjang  dipersiapk",0,"Netral"
"141","  jubir bkep sindir jokowi motoran  sirkuit mandalika  krisyanto yen oni andai jokowi  sibuk menelusuri link b",-1,"Negatif"
"142","wuihhh mantap nih  kaleng marsekal hadi euy   event motogp  arena penunjang  dipe ",0,"Netral"
"143","  ga ngerti  ga kompeten  bidang    bandingin aja ama wkt mandalika  beroperasi   yg ny",1,"Positif"
"144"," ngadain balap blm  sirkuit tuh contoh mandalika ",0,"Netral"
"145","pengen nyobain sirkut mandalika  sirkuit f ",0,"Netral"
"146","     pa  sdh mmbangun sirkuit internasional mandalika  nt ",0,"Netral"
"147","pembangunan infrastruktur sirkuit mandalika dikebut jelang motogp  ",1,"Positif"
"148","pembangunan infrastruktur sirkuit mandalika dikebut jelang motogp ",1,"Positif"
"149","motogp  digelar  sirkuit mandalika  maret  ",0,"Netral"
"150","    baca   twitt   biar  tau seb ",0,"Netral"
"151"," presiden jokowi  mantan panglima tni pimpin motogp indonesia   sirkuit mandalika    marsekal purn hadi",0,"Netral"
"152","pembangunan infrastruktur sirkuit mandalika dikebut jelang motogp ",1,"Positif"
"153","  ga ngerti  ga kompeten  bidang    bandingin aja ama wkt mandalika  beroperasi   yg ny",1,"Positif"
"154"," ak jg cape tau bang retweet mulu  kaga dapet dapet  pengen bli motor  balapan  mandalika sirkuit",-1,"Negatif"
"155"," presiden jokowi  mantan panglima tni pimpin motogp indonesia   sirkuit mandalika    marsekal purn hadi",0,"Netral"
"156","  alesan biar cepet  penyerapan anggaran tuh  zxr biar sirkuit mandalika pindah  jogja  tanggung",-1,"Negatif"
"157"," presiden jokowi  mantan panglima tni pimpin motogp indonesia   sirkuit mandalika    marsekal purn hadi",0,"Netral"
"158","presiden jokowi  mantan panglima tni pimpin motogp indonesia   sirkuit mandalika    marsekal p ",0,"Netral"
"159","   menyaksikan langsung pembalappembalap dunia berlaga   mata  negeri     sirkuit mandalika",-2,"Negatif"
"160","populer otomotif kondisi repsol honda    sirkuit mandalika   tuan rumah gt world challenge asia  ",1,"Positif"
"161","   pemprov dki   pengelola ancol   adab  tgg  moral  thd ",0,"Netral"
"162"," hasil meeting    program pestisida q  distributor    achieve target min     nonton ",0,"Netral"
"163","   pembalap wsbk kecewa sirkuit mandalika kotor  licin mustofa ",-2,"Negatif"
"164","  ga ngerti  ga kompeten  bidang    bandingin aja ama wkt mandalika  beroperasi   yg ny",1,"Positif"
"165","  ga ngerti  ga kompeten  bidang    bandingin aja ama wkt mandalika  beroperasi   yg ny",1,"Positif"
"166"," pengelola hotel  gili terawangan kabupaten lombok utara ntb optimis kawasan    diramaikan wisatawan  i",1,"Positif"
